index,cbo,cargo,idPost
2,612510,Abacaxicultor,21745
3,622020,Abanador na Agricultura,22177
4,862120,Abastecedor de Caldeira,28101
5,862160,Abastecedor de Combustível de Aeronave,28133
6,784205,Abastecedor de Linha de Produção,26749
7,784205,Abastecedor de Máquinas de Linha de Produção,26751
9,848505,Abatedor,10584
10,632125,Abatedor - na Extração de Madeira,22963
11,848505,Abatedor de Animais,27855
12,848505,Abatedor de Aves,27857
13,848505,Abatedor de Gado,27859
14,848505,Abatedor de Galinha,27861
15,848505,Abatedor de Porco,27863
16,848505,Abatedor em Matadouro,27865
17,613405,Abelheiro,22041
18,711410,Abridor - Nas Salinas,23563
19,761205,Abridor de Lã,25453
20,764305,Acabador de Calcados,9770
22,766305,Acabador de Embalagens (Flexíveis e Cartotecnicas),9838
23,722305,Acabador de Macho - na Fundição,24361
24,716525,Acabador de Mármore e Granito,23921
25,722315,Acabador de Moldes (fundição),24377
26,712220,Acabador de Pedras,23651
27,716105,Acabador de Superfícies de Concreto,9098
28,715205,Acafelador,23735
29,632405,Açaizeiro,23131
30,721325,Acepilhador de Metais,24257
31,761240,Acertador de Maçaroqueira,25473
32,516210,Acompanhante de Idosos,21115
33,848510,Açougueiro,10586
34,848520,Açougueiro Classificador (exclusive Comércio),27923
35,848525,Açougueiro Cortador (exclusive Comércio),27945
36,848515,Açougueiro Desossador,27903
37,848510,Açougueiro Retalhista,27889
38,376205,Acrobata,7952
39,322105,Acupuntor,18777
40,322105,Acupunturista,18779
41,261505,Adaptador de Obras Para Teatro,17319
42,141410,Adegueiro,14605
43,141405,Adeleiro (comércio Atacadista),14557
44,141410,Adeleiro (comércio Varejista),14607
45,623125,Adestrador (eqüinos),22719
46,623005,Adestrador de Animais,8750
47,623105,Adestrador de Animais de Trabalho ( Asininos e Muares),22663
48,252105,Administrador,7020
49,141505,Administrador (serviço de Hospedagem),14855
50,131210,Administrador de Ambulatório,14368
51,261305,Administrador de Arquivos,17259
52,212305,Administrador de Banco de Dados,5984
53,141505,Administrador de Camping,14857
54,141715,Administrador de Carteiras de Câmbio e Comércio Exterior,15015
55,141720,Administrador de Carteiras de Crédito e Cobrança,15019
56,141725,Administrador de Carteiras de Crédito Imobiliário,15023
57,142405,Administrador de Compras,15131
58,252210,Administrador de Contadorias e Registros Fiscais,16997
60,252105,Administrador de Empresas,16955
61,141505,Administrador de Empresas de Hospedagem,14859
62,141120,Administrador de Empresas de Pesca,14474
64,131115,Administrador de Instituições Culturais,14318
65,252105,Administrador de Marketing,16957
66,142415,Administrador de Materiais,15143
68,252105,Administrador de Patrimônio,16961
69,252105,Administrador de Pequena e Média Empresa,16963
70,142210,Administrador de Pessoal,15059
71,252105,Administrador de Recursos Humanos,16965
72,252105,Administrador de Recursos Tecnológicos,16967
73,212310,Administrador de Rede e de Sistemas Computacionais,15319
74,212310,Administrador de Redes,5986
75,141510,Administrador de Refeitório,14905
76,141510,Administrador de Restaurante,14907
77,212310,Administrador de Sistema Operacional de Rede,15321
78,212315,Administrador de Sistemas Computacionais,15325
79,212315,Administrador de Sistemas Operacionais,5988
80,212315,Administrador de Sistemas Operacionais de Rede,15327
81,212320,Administrador em Segurança da Informação,5990
82,252105,Administrador Financeiro,16969
83,321210,Administrador Florestal,18751
85,141415,Administrador no Comércio de Mercadorias,14823
86,252105,Administrador Público,16973
87,622020,Adubador,22179
88,241005,Advogado,6892
89,241030,Advogado (abuso do Poder Econômico),16785
90,241030,Advogado (aeroespacial),16787
91,241030,Advogado (agente de Propriedade Industrial),16789
92,241030,Advogado (ambientalista),16791
93,241030,Advogado (Áreas Especiais),6902
94,241030,Advogado (biodireito),16793
95,241030,Advogado (concorrência Desleal),16795
96,241030,Advogado (desportivo),16797
97,241020,Advogado (direito Administrativo),16771
98,241015,Advogado (Direito Civil),6896
99,241015,Advogado (direito de Família e Sucessões),16763
100,241035,Advogado (Direito do Trabalho),6904
101,241030,Advogado (direito Internacional),16799
102,241025,Advogado (Direito Penal),6900
103,241020,Advogado (Direito Publico),6898
104,241030,Advogado (direitos da Criança e do Adolescente),16801
105,241030,Advogado (direitos do Consumidor),16803
106,241030,Advogado (energia Elétrica),16805
107,241030,Advogado (propriedade Intelectual),16807
108,241030,Advogado (recursos Hídricos e Minerais),16809
109,241030,Advogado (telecomunicações),16811
110,241015,Advogado Civilista,16765
111,241015,Advogado Comercial,16767
112,241020,Advogado Constitucionalista,16773
113,241015,Advogado Contratualista,16769
114,241025,Advogado Criminalista,16779
115,241010,Advogado de Empresa,6894
116,241005,Advogado Digital,62418
117,241010,Advogado Empresarial,16761
118,241005,Advogado Generalista,16757
119,241020,Advogado Previdenciário,16775
120,241035,Advogado Trabalhista,16815
121,241020,Advogado Tributarista,16777
122,241030,Advogados (direito Eletrônico),16813
123,511105,Aeromoça,20723
125,721315,Afiador - na Fabricação,24227
126,721310,Afiador Ambulante,24207
127,721315,Afiador de Brocas e Coroas,24229
128,721305,Afiador de Cardas,9196
129,721310,Afiador de Cutelaria,9198
130,721310,Afiador de Facas,24209
131,721310,Afiador de Facas ( Inclusive Ambulante),24211
133,721320,Afiador de Lâminas,24249
134,721320,Afiador de Serras,9202
135,721315,Afiador de Talhadeira,24231
136,721310,Afiador de Tesouras ( Inclusive Ambulante),24213
137,721320,Afiador e Laminador de Serras,24251
138,721315,Afiador Manual,24233
139,742105,Afinador de Instrumentos Musicais,9480
140,914425,Afinador de Motores a Diesel,28531
141,911120,Afinador de Motores Diesel (exceto de Veículos Automotores),28263
142,915210,Afinador de Piano,28549
143,725010,Afinador Mecânico,24765
144,342120,Afretador,7684
146,253140,Agenciador de Publicidade,17127
148,410105,Agente Administrativo Supervisor,20121
149,424105,Agente Censitário Operacional,60924
150,515105,Agente Comunitário de Saúde,8346
151,517335,Agente da Guarda Portuária,21305
152,515310,Agente de Ação Social,8372
153,515325,Agente de Apoio Socioeducativo,21073
154,342120,Agente de Carga,19105
155,424105,Agente de Coleta ( Censo e Pesquisas Amostrais),20627
156,514205,Agente de Coleta de Lixo,20933
157,420120,Agente de Coleta Supervisor,20409
158,515140,Agente de Combate Às Endemias,21043
159,342105,Agente de Comércio Exterior,19089
160,515140,Agente de Controle de Vetores,21045
161,515140,Agente de Contrrole de Dengue,21047
162,352205,Agente de Defesa Ambiental,7784
163,352405,Agente de Direitos Autorais,7796
164,342405,Agente de Estação (Ferrovia e Metro),7698
165,783105,Agente de Estação (manobras),26597
166,342605,Agente de Estação Portuária,19195
169,391205,Agente de Inspeção (qualidade),20061
170,352205,Agente de Inspeção de Pesca,19331
171,351905,Agente de Inteligência,7780
172,517110,Agente de Investigação de Incêndio,21213
173,351805,Agente de Investigação Privada,19303
