estado,salario
São Paulo,"1.588,55"
Minas Gerais,"1.577,61"
Rio Grande do Sul,"1.610,20"
Mato Grosso,"1.867,23"
Bahia,"1.371,49"
Goiás,"1.557,24"
Paraná,"1.732,80"
Mato Grosso do Sul,"1.603,00"
Espírito Santo,"1.338,61"
Pernambuco,"1.322,76"
Santa Catarina,"1.568,19"
Pará,"1.402,63"
Piauí,"1.368,63"
Maranhão,"1.454,74"
Tocantins,"1.636,00"
Alagoas,"1.292,29"
Rondônia,"1.651,48"
Rio Grande do Norte,"1.327,88"
Roraima,"1.331,49"
Ceará,"1.281,84"
Rio de Janeiro,"1.410,47"
Paraíba,"1.344,11"
Sergipe,"1.282,92"
Distrito Federal,"1.593,89"
Amazonas,"1.350,36"
Amapá,"1.361,57"
Acre,"1.351,00"
