estado,salario
São Paulo,"2.389,36"
Paraná,"2.140,82"
Minas Gerais,"1.962,42"
Santa Catarina,"2.179,43"
Rio Grande do Sul,"2.145,48"
Mato Grosso,"2.269,95"
Goiás,"2.179,42"
Rio de Janeiro,"2.227,02"
Pará,"1.789,95"
Pernambuco,"1.704,16"
Bahia,"1.938,52"
Mato Grosso do Sul,"2.440,96"
Ceará,"1.582,85"
Rondônia,"1.726,47"
Alagoas,"1.582,53"
Paraíba,"1.445,40"
Espírito Santo,"2.002,92"
Amazonas,"2.057,17"
Sergipe,"1.546,01"
Maranhão,"2.046,39"
Roraima,"2.531,29"
Distrito Federal,"2.000,73"
Tocantins,"1.789,17"
Piauí,"1.651,86"
Rio Grande do Norte,"1.536,09"
Acre,"1.743,96"
Amapá,"1.527,33"
