estado,salario
São Paulo,"2.391,24"
Rio de Janeiro,"2.184,29"
Minas Gerais,"1.923,12"
Mato Grosso,"2.023,89"
Pará,"1.795,42"
Paraná,"2.306,28"
Amazonas,"2.152,54"
Goiás,"2.062,29"
Bahia,"1.861,19"
Rio Grande do Sul,"2.157,33"
Mato Grosso do Sul,"1.651,15"
Santa Catarina,"1.976,71"
Espírito Santo,"1.680,17"
Distrito Federal,"2.298,42"
Ceará,"1.817,64"
Rio Grande do Norte,"2.071,07"
Piauí,"1.553,36"
Alagoas,"1.940,00"
Maranhão,"1.878,75"
Roraima,"1.776,29"
Rondônia,"1.954,50"
Acre,"2.095,00"
Pernambuco,"2.363,00"
Tocantins,"1.790,00"
