estado,salario
São Paulo,"1.789,47"
Paraná,"1.711,76"
Santa Catarina,"1.742,56"
Minas Gerais,"1.491,99"
Rio Grande do Sul,"1.698,54"
Goiás,"1.442,43"
Mato Grosso,"1.615,58"
Rio de Janeiro,"1.514,79"
Pernambuco,"1.426,46"
Bahia,"1.389,14"
Mato Grosso do Sul,"1.492,70"
Ceará,"1.346,97"
Espírito Santo,"1.474,76"
Pará,"1.390,15"
Amazonas,"1.597,15"
Rondônia,"1.478,50"
Paraíba,"1.315,34"
Distrito Federal,"1.425,35"
Maranhão,"1.388,47"
Tocantins,"1.363,04"
Rio Grande do Norte,"1.301,14"
Alagoas,"1.321,86"
Sergipe,"1.322,82"
Piauí,"1.332,79"
Acre,"1.323,79"
Roraima,"1.388,98"
Amapá,"1.349,50"
