estado,salario
Minas Gerais,"1.365,35"
Mato Grosso do Sul,"1.411,83"
Paraná,"1.656,80"
São Paulo,"1.462,21"
Rio Grande do Sul,"1.557,85"
Maranhão,"1.285,38"
Bahia,"1.325,30"
Santa Catarina,"1.583,65"
Pará,"1.427,46"
Espírito Santo,"1.275,90"
Goiás,"1.373,27"
Mato Grosso,"1.652,09"
Amapá,"1.560,64"
Tocantins,"1.397,33"
Rondônia,"1.475,29"
Rio de Janeiro,"1.488,64"
Ceará,"1.228,84"
Amazonas,"1.373,59"
Piauí,"1.228,23"
Rio Grande do Norte,"1.457,62"
Pernambuco,"1.369,66"
Sergipe,"1.254,86"
Acre,"1.415,13"
Alagoas,"1.321,28"
Distrito Federal,"1.348,42"
Paraíba,"1.263,38"
