estado,salario
São Paulo,"1.564,92"
Rio Grande do Sul,"1.675,25"
Paraná,"1.708,39"
Mato Grosso do Sul,"1.498,15"
Minas Gerais,"1.393,53"
Santa Catarina,"1.661,40"
Mato Grosso,"1.715,52"
Bahia,"1.476,08"
Espírito Santo,"1.325,65"
Pará,"1.440,98"
Goiás,"1.514,20"
Rondônia,"1.465,18"
Ceará,"1.368,36"
Pernambuco,"1.332,21"
Maranhão,"1.399,83"
Rio de Janeiro,"1.439,48"
Piauí,"1.464,20"
Acre,"1.332,03"
Tocantins,"1.792,94"
Sergipe,"1.304,22"
Rio Grande do Norte,"1.314,07"
Alagoas,"1.288,80"
Paraíba,"1.394,83"
Distrito Federal,"1.626,28"
Amazonas,"1.401,94"
