estado,salario
São Paulo,"1.962,77"
Santa Catarina,"1.858,99"
Rio Grande do Sul,"1.841,32"
Minas Gerais,"1.568,26"
Paraná,"1.703,41"
Goiás,"1.512,29"
Espírito Santo,"1.269,30"
Rio de Janeiro,"1.569,23"
Ceará,"1.317,85"
Amazonas,"1.570,50"
Mato Grosso do Sul,"1.584,51"
Bahia,"1.491,29"
Pernambuco,"1.462,23"
Distrito Federal,"1.547,67"
Mato Grosso,"1.650,71"
Piauí,"1.310,91"
Rio Grande do Norte,"1.285,82"
Pará,"1.621,78"
Maranhão,"1.362,44"
Tocantins,"1.309,33"
Sergipe,"1.224,86"
Paraíba,"1.352,67"
Alagoas,"1.333,80"
Rondônia,"1.430,00"
