estado,salario
São Paulo,"2.205,43"
Paraná,"2.353,08"
Minas Gerais,"1.711,47"
Santa Catarina,"2.327,66"
Rio Grande do Sul,"1.964,77"
Rio de Janeiro,"1.940,15"
Mato Grosso,"2.044,27"
Goiás,"1.911,54"
Espírito Santo,"1.929,04"
Mato Grosso do Sul,"1.851,09"
Bahia,"1.513,02"
Pará,"1.611,78"
Ceará,"1.413,92"
Pernambuco,"1.484,98"
Paraíba,"1.457,29"
Distrito Federal,"1.980,79"
Maranhão,"1.497,72"
Tocantins,"1.875,21"
Sergipe,"1.546,26"
Rondônia,"1.491,26"
Alagoas,"1.421,95"
Piauí,"1.563,46"
Amazonas,"1.540,29"
Rio Grande do Norte,"1.499,19"
Acre,"1.385,48"
Roraima,"1.534,28"
Amapá,"1.385,20"
