estado,salario
Espírito Santo,"1.916,52"
São Paulo,"2.215,83"
Minas Gerais,"1.708,92"
Rio Grande do Sul,"1.730,99"
Bahia,"1.658,56"
Santa Catarina,"1.981,08"
Paraná,"2.490,24"
Goiás,"1.795,62"
Rio de Janeiro,"1.897,52"
Mato Grosso,"1.979,82"
Ceará,"1.370,88"
Pará,"1.527,21"
Piauí,"1.377,21"
Maranhão,"1.561,02"
Pernambuco,"1.340,65"
Distrito Federal,"1.870,31"
Mato Grosso do Sul,"1.808,41"
Rio Grande do Norte,"1.461,24"
Sergipe,"1.469,26"
Alagoas,"1.360,67"
Paraíba,"1.454,29"
Roraima,"1.341,65"
Tocantins,"1.851,42"
Rondônia,"1.615,69"
Amazonas,"1.406,38"
Amapá,"1.484,70"
Acre,"1.587,00"
