estado,salario
São Paulo,"2.239,82"
Minas Gerais,"1.667,03"
Santa Catarina,"1.959,04"
Espírito Santo,"1.818,26"
Mato Grosso,"2.205,88"
Rio de Janeiro,"2.008,46"
Ceará,"1.504,85"
Paraná,"2.355,73"
Bahia,"1.702,26"
Rio Grande do Sul,"1.866,87"
Goiás,"1.851,98"
Distrito Federal,"1.704,88"
Mato Grosso do Sul,"1.642,29"
Alagoas,"1.367,76"
Rio Grande do Norte,"1.503,71"
Pernambuco,"1.565,10"
Paraíba,"1.544,32"
Maranhão,"1.641,14"
Pará,"1.462,60"
Piauí,"1.484,00"
Rondônia,"1.403,25"
Sergipe,"1.502,94"
Tocantins,"1.706,38"
Amapá,"1.327,17"
