estado,salario
São Paulo,"2.168,59"
Minas Gerais,"1.742,78"
Paraná,"1.980,03"
Rio Grande do Sul,"1.757,47"
Ceará,"1.733,17"
Santa Catarina,"1.875,60"
Rio de Janeiro,"2.278,69"
Bahia,"2.076,61"
Rio Grande do Norte,"1.532,84"
Goiás,"1.896,01"
Espírito Santo,"1.741,57"
Pernambuco,"1.867,56"
Sergipe,"1.722,97"
Piauí,"1.615,48"
Mato Grosso do Sul,"1.805,36"
Mato Grosso,"1.939,22"
Pará,"1.922,50"
Paraíba,"1.745,86"
Alagoas,"1.907,67"
Maranhão,"1.869,76"
Amazonas,"1.810,41"
Tocantins,"1.847,49"
Rondônia,"1.936,06"
Distrito Federal,"1.809,27"
Acre,"1.718,08"
Amapá,"1.720,00"
Roraima,"1.783,00"
