estado,salario
São Paulo,"2.202,65"
Rio Grande do Sul,"1.975,29"
Paraná,"2.015,74"
Minas Gerais,"1.729,00"
Santa Catarina,"2.022,08"
Rio de Janeiro,"2.201,01"
Espírito Santo,"2.045,21"
Bahia,"1.861,58"
Pará,"1.968,25"
Amazonas,"1.855,49"
Pernambuco,"1.859,47"
Ceará,"1.416,62"
Goiás,"1.699,63"
Distrito Federal,"1.533,25"
Rio Grande do Norte,"1.754,07"
Maranhão,"1.934,90"
Alagoas,"1.735,67"
Mato Grosso,"1.604,78"
Mato Grosso do Sul,"1.741,71"
Tocantins,"1.635,38"
Paraíba,"1.336,15"
Sergipe,"1.391,12"
Rondônia,"1.593,94"
Piauí,"1.266,61"
Amapá,"1.800,67"
