estado,salario
São Paulo,"1.513,01"
Minas Gerais,"1.389,69"
Rio Grande do Sul,"1.483,07"
Paraná,"1.628,65"
Santa Catarina,"1.700,03"
Rio de Janeiro,"1.439,87"
Espírito Santo,"1.409,16"
Goiás,"1.414,69"
Ceará,"1.417,75"
Distrito Federal,"1.418,19"
Bahia,"1.329,21"
Mato Grosso do Sul,"1.430,86"
Pernambuco,"1.318,41"
Rio Grande do Norte,"1.298,82"
Mato Grosso,"1.524,94"
Amazonas,"1.293,92"
Paraíba,"1.286,79"
Pará,"1.316,12"
Amapá,"1.415,11"
Sergipe,"1.356,70"
Rondônia,"1.368,03"
Maranhão,"1.304,06"
Piauí,"1.379,04"
Alagoas,"1.320,89"
Tocantins,"1.295,74"
Acre,"1.382,21"
Roraima,"1.548,31"
