estado,salario
Santa Catarina,"1.832,34"
Paraná,"1.661,85"
Rio Grande do Sul,"1.768,66"
Minas Gerais,"1.437,04"
Mato Grosso,"1.652,06"
Goiás,"1.543,61"
São Paulo,"1.760,17"
Mato Grosso do Sul,"1.818,21"
Pará,"1.652,27"
Rio de Janeiro,"1.620,53"
Bahia,"1.522,25"
Rondônia,"1.688,63"
Pernambuco,"1.410,71"
Espírito Santo,"1.534,27"
Tocantins,"1.664,95"
Maranhão,"1.433,25"
Amazonas,"1.326,92"
Ceará,"1.449,00"
Distrito Federal,"1.502,78"
Alagoas,"1.277,24"
Acre,"1.410,89"
Rio Grande do Norte,"1.315,00"
Roraima,"1.333,18"
Piauí,"1.370,95"
Paraíba,"1.344,33"
Sergipe,"1.380,03"
Amapá,"1.280,25"
