estado,salario
Paraná,"1.701,50"
Rio Grande do Sul,"1.677,31"
São Paulo,"1.717,00"
Mato Grosso,"1.677,36"
Minas Gerais,"1.465,80"
Mato Grosso do Sul,"1.643,89"
Goiás,"1.698,99"
Santa Catarina,"1.803,57"
Espírito Santo,"1.347,05"
Pará,"1.512,35"
Rondônia,"1.647,95"
Rio de Janeiro,"1.463,48"
Roraima,"1.339,81"
Tocantins,"1.506,60"
Bahia,"1.455,68"
Distrito Federal,"1.443,07"
Rio Grande do Norte,"1.552,95"
Pernambuco,"1.453,04"
Amazonas,"1.320,14"
Ceará,"1.425,14"
Maranhão,"1.363,83"
Acre,"1.459,44"
Alagoas,"1.335,00"
Paraíba,"1.350,32"
Sergipe,"1.357,75"
Piauí,"1.505,50"
Amapá,"1.592,33"
