estado,salario
São Paulo,"1.923,82"
Rio Grande do Sul,"1.809,81"
Paraná,"1.927,96"
Santa Catarina,"1.964,36"
Minas Gerais,"1.774,57"
Mato Grosso,"2.244,35"
Rondônia,"1.617,66"
Mato Grosso do Sul,"1.994,28"
Goiás,"1.999,07"
Distrito Federal,"1.650,51"
Pará,"2.011,34"
Rio de Janeiro,"1.814,54"
Tocantins,"1.658,93"
Espírito Santo,"2.002,51"
Pernambuco,"1.498,63"
Bahia,"1.589,83"
Ceará,"1.479,31"
Amazonas,"1.564,39"
Acre,"1.478,67"
Maranhão,"1.809,95"
Rio Grande do Norte,"1.604,40"
Alagoas,"1.371,82"
Paraíba,"1.559,93"
Roraima,"1.319,33"
Piauí,"1.472,44"
Sergipe,"1.396,20"
