estado,salario
São Paulo,"1.918,07"
Minas Gerais,"1.537,02"
Paraná,"1.829,46"
Rio de Janeiro,"1.640,60"
Rio Grande do Sul,"1.781,29"
Goiás,"1.654,18"
Santa Catarina,"1.995,32"
Mato Grosso,"1.672,92"
Bahia,"1.439,47"
Espírito Santo,"1.568,46"
Mato Grosso do Sul,"1.623,08"
Distrito Federal,"1.519,71"
Pará,"1.525,42"
Ceará,"1.439,29"
Amazonas,"1.392,81"
Pernambuco,"1.443,74"
Rondônia,"1.526,18"
Tocantins,"1.501,03"
Rio Grande do Norte,"1.332,41"
Maranhão,"1.473,11"
Paraíba,"1.427,34"
Alagoas,"1.368,47"
Roraima,"1.438,66"
Piauí,"1.407,86"
Acre,"1.343,27"
Sergipe,"1.384,40"
Amapá,"1.354,66"
