estado,salario
São Paulo,"1.948,73"
Paraná,"1.970,67"
Ceará,"1.320,63"
Minas Gerais,"1.575,64"
Piauí,"1.316,42"
Rio Grande do Norte,"1.302,48"
Pernambuco,"1.385,61"
Rio de Janeiro,"1.820,04"
Paraíba,"1.468,87"
Maranhão,"1.822,41"
Espírito Santo,"1.528,91"
Santa Catarina,"1.885,97"
Rio Grande do Sul,"1.966,12"
Bahia,"1.525,70"
Rondônia,"1.413,61"
Sergipe,"1.324,57"
Pará,"1.508,27"
Amazonas,"1.363,71"
Goiás,"1.735,33"
Mato Grosso,"2.462,71"
Alagoas,"1.330,47"
Mato Grosso do Sul,"1.474,00"
Distrito Federal,"1.851,58"
Tocantins,"1.535,31"
Roraima,"1.306,67"
Amapá,"1.279,50"
