estado,salario
São Paulo,"1.941,71"
Rio de Janeiro,"2.051,17"
Minas Gerais,"1.736,67"
Paraná,"1.877,58"
Rio Grande do Sul,"1.892,48"
Santa Catarina,"2.024,63"
Mato Grosso,"1.524,72"
Goiás,"1.750,65"
Bahia,"1.980,65"
Distrito Federal,"1.912,55"
Maranhão,"1.592,40"
Amazonas,"1.452,44"
Ceará,"1.745,06"
Pará,"1.713,83"
Mato Grosso do Sul,"1.728,83"
Pernambuco,"2.274,31"
Espírito Santo,"1.806,59"
Paraíba,"1.704,28"
Roraima,"1.414,45"
Rondônia,"1.691,28"
Rio Grande do Norte,"1.696,58"
Piauí,"1.646,14"
Sergipe,"1.648,22"
Tocantins,"1.446,15"
Alagoas,"2.001,58"
Amapá,"1.685,60"
Acre,"1.849,55"
