estado,salario
São Paulo,"1.945,96"
Rio de Janeiro,"1.432,28"
Minas Gerais,"1.763,74"
Paraná,"1.864,08"
Rio Grande do Sul,"1.687,07"
Santa Catarina,"1.865,04"
Goiás,"1.938,30"
Bahia,"1.658,61"
Pernambuco,"1.632,38"
Mato Grosso,"1.778,19"
Espírito Santo,"1.774,46"
Pará,"1.984,60"
Paraíba,"1.270,72"
Alagoas,"1.301,63"
Mato Grosso do Sul,"2.258,63"
Distrito Federal,"1.608,83"
Ceará,"1.483,78"
Maranhão,"1.371,47"
Rio Grande do Norte,"1.700,50"
Sergipe,"1.779,43"
Acre,"1.487,33"
Roraima,"1.800,00"
Piauí,"1.578,83"
Rondônia,"1.826,50"
Tocantins,"1.281,67"
