estado,salario
Mato Grosso,"2.029,14"
São Paulo,"1.752,43"
Minas Gerais,"1.536,70"
Mato Grosso do Sul,"2.629,92"
Goiás,"1.786,65"
Pará,"1.688,77"
Bahia,"1.535,47"
Paraná,"1.721,17"
Tocantins,"1.513,82"
Rio Grande do Sul,"1.679,47"
Maranhão,"1.617,87"
Rio de Janeiro,"1.368,73"
Santa Catarina,"1.680,00"
Paraíba,"1.249,36"
Espírito Santo,"1.540,31"
Alagoas,"1.506,77"
Rondônia,"1.893,25"
Distrito Federal,"1.474,25"
Pernambuco,"1.260,60"
Amazonas,"1.439,30"
Ceará,"1.266,00"
Acre,"1.631,20"
Sergipe,"1.242,00"
Piauí,"1.330,33"
