estado,salario
São Paulo,"2.022,17"
Minas Gerais,"1.782,13"
Santa Catarina,"1.748,42"
Rio Grande do Sul,"1.572,92"
Goiás,"2.062,40"
Paraná,"1.786,00"
Mato Grosso,"2.100,22"
Rio de Janeiro,"2.758,70"
Pernambuco,"1.549,50"
Pará,"1.897,48"
Bahia,"1.615,07"
Mato Grosso do Sul,"2.223,73"
Espírito Santo,"2.130,79"
Distrito Federal,"1.758,88"
Maranhão,"2.000,64"
Rio Grande do Norte,"1.270,92"
Tocantins,"1.658,20"
Ceará,"1.613,50"
Rondônia,"1.850,60"
Acre,"2.032,44"
Sergipe,"1.302,67"
Amapá,"1.271,14"
Paraíba,"1.245,00"
Amazonas,"1.705,67"
Alagoas,"1.324,75"
Piauí,"1.320,67"
Roraima,"1.275,33"
