estado,salario
São Paulo,"9.743,07"
Rio de Janeiro,"7.405,51"
Minas Gerais,"5.698,68"
Rio Grande do Sul,"7.158,15"
Bahia,"6.194,44"
Ceará,"6.338,33"
Paraná,"5.766,51"
Pernambuco,"4.662,93"
Distrito Federal,"8.539,12"
Goiás,"5.224,57"
Santa Catarina,"5.289,34"
Maranhão,"5.163,08"
Pará,"5.545,67"
Espírito Santo,"5.347,37"
Paraíba,"4.364,59"
Mato Grosso do Sul,"6.128,38"
Mato Grosso,"4.081,33"
Sergipe,"5.369,90"
Roraima,"8.350,14"
Rio Grande do Norte,"5.170,23"
Amazonas,"4.429,61"
Tocantins,"6.537,82"
Alagoas,"5.396,40"
Piauí,"4.182,72"
Amapá,"5.122,47"
Rondônia,"3.087,54"
Acre,"4.503,67"
