estado,salario
São Paulo,"2.328,22"
Minas Gerais,"2.141,79"
Ceará,"2.003,34"
Rio de Janeiro,"2.509,93"
Santa Catarina,"2.277,85"
Paraná,"1.635,16"
Rio Grande do Sul,"1.691,88"
Distrito Federal,"2.932,22"
Mato Grosso,"1.526,22"
Goiás,"1.601,16"
Espírito Santo,"2.055,90"
Bahia,"2.244,25"
Pernambuco,"1.971,33"
Mato Grosso do Sul,"1.517,86"
Pará,"2.488,12"
Tocantins,"1.490,26"
Maranhão,"1.745,50"
Amazonas,"2.240,36"
Rio Grande do Norte,"1.801,55"
Alagoas,"1.501,70"
Paraíba,"1.369,90"
Rondônia,"1.682,00"
Sergipe,"3.466,50"
Amapá,"3.134,00"
