estado,salario
São Paulo,"13.733,40"
Paraná,"5.168,45"
Minas Gerais,"5.365,27"
Ceará,"5.758,66"
Santa Catarina,"3.733,26"
Goiás,"5.716,19"
Piauí,"2.304,05"
Rio Grande do Sul,"5.551,84"
Rio de Janeiro,"6.229,53"
Pernambuco,"2.931,83"
Bahia,"3.591,71"
Maranhão,"1.688,64"
Mato Grosso,"9.594,33"
Rio Grande do Norte,"1.480,35"
Rondônia,"1.990,35"
Pará,"1.646,64"
Amazonas,"1.964,73"
Sergipe,"3.347,78"
Espírito Santo,"2.715,50"
Mato Grosso do Sul,"2.563,38"
Paraíba,"2.715,20"
Alagoas,"2.885,00"
Tocantins,"1.917,00"
Distrito Federal,"4.180,75"
Amapá,"1.800,00"
