estado,salario
São Paulo,"5.500,95"
Minas Gerais,"4.472,93"
Paraná,"4.407,15"
Rio de Janeiro,"5.314,56"
Santa Catarina,"4.357,01"
Rio Grande do Sul,"4.394,33"
Goiás,"3.555,73"
Ceará,"3.838,73"
Bahia,"3.562,57"
Pernambuco,"3.743,65"
Mato Grosso,"4.297,22"
Espírito Santo,"3.950,57"
Distrito Federal,"4.546,58"
Amazonas,"3.844,68"
Pará,"3.531,73"
Maranhão,"3.062,93"
Mato Grosso do Sul,"4.204,26"
Rio Grande do Norte,"2.876,66"
Alagoas,"3.583,95"
Paraíba,"2.952,16"
Piauí,"3.035,65"
Rondônia,"3.181,21"
Tocantins,"3.855,80"
Sergipe,"2.951,01"
Roraima,"3.168,73"
Amapá,"3.019,85"
Acre,"3.066,70"
