estado,salario
São Paulo,"4.346,88"
Rio de Janeiro,"3.423,99"
Minas Gerais,"2.836,92"
Santa Catarina,"3.774,63"
Bahia,"3.719,02"
Pernambuco,"3.703,31"
Paraná,"4.295,34"
Rio Grande do Sul,"3.114,25"
Goiás,"3.058,51"
Mato Grosso,"3.177,59"
Ceará,"3.314,95"
Alagoas,"7.314,31"
Espírito Santo,"3.114,18"
Pará,"2.835,75"
Rio Grande do Norte,"3.476,47"
Mato Grosso do Sul,"2.887,92"
Maranhão,"2.487,00"
Distrito Federal,"3.325,77"
Amazonas,"4.608,08"
Paraíba,"2.602,30"
Sergipe,"2.212,92"
Tocantins,"2.710,42"
Piauí,"2.445,18"
Rondônia,"2.303,91"
Amapá,"1.753,80"
Roraima,"2.892,00"
