estado,salario
São Paulo,"6.758,56"
Rio de Janeiro,"5.570,78"
Minas Gerais,"5.083,83"
Paraná,"3.890,43"
Ceará,"3.291,34"
Rio Grande do Sul,"3.771,37"
Santa Catarina,"9.588,65"
Distrito Federal,"5.197,85"
Bahia,"4.855,39"
Mato Grosso,"4.437,67"
Goiás,"3.741,00"
Pernambuco,"3.566,31"
Pará,"5.583,61"
Roraima,"4.294,20"
Espírito Santo,"5.656,36"
Rio Grande do Norte,"2.229,18"
Mato Grosso do Sul,"3.214,67"
Amazonas,"8.184,13"
Sergipe,"5.825,71"
Alagoas,"2.237,17"
Maranhão,"2.131,33"
Paraíba,"2.949,40"
Piauí,"3.775,25"
Rondônia,"2.859,00"
