estado,salario
São Paulo,"4.180,65"
Minas Gerais,"2.752,96"
Goiás,"2.200,84"
Rio Grande do Sul,"2.926,23"
Mato Grosso,"2.534,95"
Paraná,"3.063,00"
Rio de Janeiro,"4.336,33"
Santa Catarina,"3.099,18"
Bahia,"2.743,67"
Pará,"2.158,36"
Pernambuco,"2.542,64"
Distrito Federal,"2.566,22"
Ceará,"2.906,24"
Mato Grosso do Sul,"2.561,69"
Maranhão,"2.321,68"
Espírito Santo,"3.348,09"
Rondônia,"1.809,69"
Tocantins,"1.937,96"
Amazonas,"6.360,58"
Sergipe,"1.676,29"
Rio Grande do Norte,"1.967,36"
Alagoas,"2.618,69"
Paraíba,"2.513,25"
Piauí,"2.841,00"
Acre,"1.735,55"
Amapá,"2.060,88"
Roraima,"1.858,63"
