estado,salario
São Paulo,"5.092,18"
Minas Gerais,"3.943,85"
Rio de Janeiro,"4.712,64"
Paraná,"3.837,27"
Goiás,"3.346,33"
Ceará,"3.619,75"
Rio Grande do Sul,"3.946,23"
Bahia,"3.162,55"
Santa Catarina,"4.119,02"
Pernambuco,"3.566,26"
Mato Grosso,"3.509,64"
Distrito Federal,"3.283,09"
Pará,"3.276,26"
Espírito Santo,"3.357,90"
Mato Grosso do Sul,"3.628,70"
Rondônia,"2.538,88"
Maranhão,"3.083,04"
Paraíba,"2.806,97"
Alagoas,"3.269,63"
Rio Grande do Norte,"2.613,45"
Amazonas,"3.620,85"
Tocantins,"3.246,50"
Sergipe,"2.775,82"
Piauí,"2.842,13"
Acre,"2.203,93"
Roraima,"3.247,13"
Amapá,"2.376,21"
