estado,salario
São Paulo,"6.507,42"
Minas Gerais,"4.168,94"
Paraná,"3.326,39"
Rio de Janeiro,"5.122,06"
Distrito Federal,"6.527,77"
Rio Grande do Sul,"4.759,93"
Goiás,"3.372,57"
Piauí,"2.409,64"
Santa Catarina,"4.907,22"
Pará,"2.550,83"
Ceará,"4.391,98"
Mato Grosso do Sul,"2.161,58"
Mato Grosso,"5.980,26"
Pernambuco,"3.308,95"
Espírito Santo,"3.640,78"
Paraíba,"2.565,88"
Bahia,"3.395,18"
Amazonas,"3.129,85"
Maranhão,"3.000,55"
Alagoas,"2.440,52"
Sergipe,"1.751,00"
Rio Grande do Norte,"3.851,38"
Rondônia,"2.792,00"
Roraima,"2.649,67"
Acre,"2.333,50"
Amapá,"2.186,00"
