estado,salario
São Paulo,"2.844,88"
Rio de Janeiro,"2.267,03"
Minas Gerais,"2.271,12"
Paraná,"2.582,65"
Rio Grande do Sul,"2.467,57"
Santa Catarina,"2.549,87"
Bahia,"2.264,53"
Distrito Federal,"2.142,76"
Goiás,"2.314,84"
Ceará,"2.117,29"
Pernambuco,"2.272,89"
Espírito Santo,"2.306,84"
Pará,"2.395,74"
Mato Grosso,"2.477,11"
Amazonas,"2.153,18"
Mato Grosso do Sul,"2.573,75"
Paraíba,"2.074,62"
Rio Grande do Norte,"2.205,48"
Alagoas,"2.261,97"
Sergipe,"2.112,11"
Maranhão,"2.349,55"
Rondônia,"1.998,59"
Piauí,"1.743,83"
Tocantins,"2.010,71"
Roraima,"1.727,95"
Amapá,"1.767,19"
Acre,"1.593,76"
