estado,salario
São Paulo,"8.284,46"
Minas Gerais,"4.288,05"
Rio de Janeiro,"6.231,02"
Rio Grande do Sul,"7.830,77"
Paraná,"5.328,57"
Distrito Federal,"6.293,11"
Santa Catarina,"4.564,52"
Goiás,"4.216,64"
Ceará,"3.530,68"
Bahia,"5.187,26"
Pernambuco,"3.674,71"
Espírito Santo,"6.082,52"
Amazonas,"3.238,02"
Paraíba,"3.476,89"
Sergipe,"5.400,00"
Mato Grosso do Sul,"2.972,11"
Pará,"3.220,14"
Mato Grosso,"4.043,65"
Maranhão,"2.695,83"
Rio Grande do Norte,"3.454,86"
Alagoas,"3.907,00"
Piauí,"2.538,00"
Rondônia,"4.327,13"
Tocantins,"4.425,71"
