estado,salario
São Paulo,"2.823,34"
Mato Grosso do Sul,"2.833,62"
Minas Gerais,"2.578,83"
Bahia,"2.172,70"
Rio Grande do Sul,"2.132,01"
Pará,"2.176,02"
Paraná,"3.070,58"
Espírito Santo,"2.008,77"
Santa Catarina,"2.513,92"
Rio de Janeiro,"3.082,75"
Maranhão,"2.748,19"
Mato Grosso,"3.036,48"
Goiás,"2.343,12"
Roraima,"3.008,92"
Acre,"2.644,49"
Amazonas,"2.465,67"
Tocantins,"2.068,05"
Piauí,"1.617,55"
Rio Grande do Norte,"2.035,55"
Rondônia,"2.342,36"
Paraíba,"1.403,47"
Distrito Federal,"3.411,19"
Amapá,"1.971,06"
Pernambuco,"2.135,40"
Ceará,"3.477,46"
Alagoas,"2.331,50"
