estado,salario
São Paulo,"2.950,03"
Rio de Janeiro,"2.443,15"
Minas Gerais,"2.318,94"
Rio Grande do Sul,"2.496,02"
Paraná,"2.654,01"
Santa Catarina,"2.723,88"
Bahia,"2.371,18"
Goiás,"2.496,95"
Ceará,"2.362,84"
Pernambuco,"2.462,04"
Espírito Santo,"2.274,24"
Distrito Federal,"2.440,44"
Mato Grosso,"2.569,03"
Pará,"2.323,44"
Mato Grosso do Sul,"2.504,01"
Amazonas,"2.363,07"
Maranhão,"2.566,24"
Paraíba,"2.307,39"
Rio Grande do Norte,"2.224,22"
Alagoas,"2.191,83"
Rondônia,"2.108,33"
Piauí,"2.272,40"
Sergipe,"2.350,79"
Tocantins,"2.170,38"
Roraima,"2.362,98"
Acre,"2.032,68"
Amapá,"2.046,54"
