estado,salario
São Paulo,"5.215,06"
Rio de Janeiro,"4.840,19"
Minas Gerais,"4.028,08"
Paraná,"4.126,95"
Rio Grande do Sul,"3.875,83"
Santa Catarina,"3.695,50"
Goiás,"3.257,07"
Bahia,"3.868,72"
Distrito Federal,"5.227,47"
Ceará,"3.690,78"
Pernambuco,"3.111,92"
Mato Grosso,"3.354,56"
Espírito Santo,"3.627,19"
Maranhão,"3.605,63"
Amazonas,"3.617,94"
Mato Grosso do Sul,"3.962,36"
Pará,"3.693,74"
Piauí,"3.937,39"
Rio Grande do Norte,"4.031,18"
Alagoas,"2.898,56"
Paraíba,"2.956,87"
Rondônia,"3.101,77"
Tocantins,"3.005,88"
Sergipe,"3.023,77"
Roraima,"3.359,14"
Acre,"3.379,14"
Amapá,"3.968,47"
